Date,Open,High,Low,Close,Adj Close,Volume
2018-10-04,97043.000000,97071.796875,94496.796875,94496.796875,94496.796875,1246455000
2018-10-05,94354.601563,95026.000000,93169.203125,94883.500000,94883.500000,1222090200
2018-10-08,94132.203125,96231.703125,93816.898438,96087.296875,96087.296875,1371971200
2018-10-09,96451.296875,97100.296875,95536.898438,96731.796875,96731.796875,1497700800
2018-10-10,97070.203125,97168.898438,94440.703125,94440.703125,94440.703125,1404675900
2018-10-11,93924.703125,95117.203125,93480.398438,94747.500000,94747.500000,1326165700
2018-10-12,95695.398438,97168.796875,93389.203125,96657.398438,96657.398438,1788031700
2018-10-15,97347.000000,99037.898438,97347.000000,98631.296875,98631.296875,1806576600
2018-10-16,98573.898438,99224.296875,97906.601563,98466.398438,98466.398438,1464319500
2018-10-17,99223.296875,99553.898438,98069.703125,98991.000000,98991.000000,1548557200
2018-10-18,98987.500000,99173.000000,97191.500000,97454.000000,97454.000000,1239023100
2018-10-19,97819.898438,97933.500000,96335.398438,96454.601563,96454.601563,1131596400
2018-10-22,97215.796875,97406.296875,94681.703125,94681.703125,94681.703125,1041432700
2018-10-23,94080.398438,94442.898438,92344.898438,93469.000000,93469.000000,1213415400
2018-10-24,93887.703125,94158.601563,92692.203125,92692.203125,92692.203125,963665500
2018-10-25,92272.101563,93765.601563,91958.203125,93747.703125,93747.703125,1028399400
2018-10-26,93973.203125,94036.500000,90541.500000,90541.500000,90541.500000,1037105500
2018-10-29,null,null,null,null,null,null
2018-10-30,90883.703125,91387.000000,88564.398438,89999.898438,89999.898438,1171717400
2018-10-31,90444.796875,91926.898438,89278.000000,90200.703125,90200.703125,1339042100
2018-11-01,90253.601563,92440.898438,89950.101563,92387.398438,92387.398438,1132877200
2018-11-02,92478.000000,94570.601563,92478.000000,94123.000000,94123.000000,1458804700
2018-11-05,94523.703125,95947.703125,93813.000000,95947.703125,95947.703125,1364333200
2018-11-06,96146.796875,96282.101563,94163.796875,94727.703125,94727.703125,1317450300
2018-11-07,94648.000000,96046.703125,94262.101563,95493.296875,95493.296875,1226732100
2018-11-08,95521.703125,95641.796875,93258.101563,93506.203125,93506.203125,1262701300
